# TSG_OG_classification v0.4 (jamesc@icr.ac.uk,1 26th September 2014)
# created from file: ~/Dropbox/Intercell_II_analysis/consensus_mutation_information_for_Intercell_140917.xlsx
# This file excludes genes where CGC has only a translocation reported, the TUSON q-value is > 0.1 or the TSG/OG classification is undetermined. Added in amp gene list from Santorius
#Gene_symbol	EntrezGene_ID	Ensembl_genes	classification
EXT2	2132	ENSG00000151348	TSG
EZH2	2146	ENSG00000106462	TSG
EZR	7430	ENSG00000092820	OG
FAM46C	54855	ENSG00000183508	TSG
FAM8A1	51439	ENSG00000137414	OG
FANCA	2175	ENSG00000187741	TSG
FANCC	2176	ENSG00000158169	TSG
FANCD2	2177	ENSG00000144554	TSG
FANCE	2178	ENSG00000112039	TSG
FANCF	2188	ENSG00000183161	TSG
FANCG	2189	ENSG00000221829	TSG
FANCM	57697	ENSG00000187790	TSG
FAS	355	ENSG00000026103	TSG
FAT1	2195	ENSG00000083857	TSG
FBXO11	80204	ENSG00000138081	TSG
FBXW7	55294	ENSG00000109670	TSG
FGFR2	2263	ENSG00000066468	OG
FGFR3	2261	ENSG00000068078	OG
FH	2271	ENSG00000091483	TSG
FLCN	201163	ENSG00000154803	TSG
FLT3	2322	ENSG00000122025	OG
FOXA1	3169	ENSG00000129514	TSG
FOXL2	668	ENSG00000183770	OG
FUBP1	8880	ENSG00000162613	TSG
GABRG1	2565	ENSG00000163285	OG
GATA1	2623	ENSG00000102145	OG
GATA2	2624	ENSG00000179348	OG
GATA3	2625	ENSG00000107485	TSG
GGCT	79017	ENSG00000006625	TSG
GIGYF2	26058	ENSG00000204120	TSG
GNA11	2767	ENSG00000088256	OG
GNAQ	2776	ENSG00000156052	OG
GNAS	2778	ENSG00000087460	OG
GNG4	2786	ENSG00000168243	OG
GNPTAB	79158	ENSG00000111670	TSG
GOPC	57120	ENSG00000047932	OG
GOT2	2805	ENSG00000125166	OG
GPC3	2719	ENSG00000147257	TSG
GPS2	2874	ENSG00000132522	TSG
GRIA3	2892	ENSG00000125675	OG
GRID1	2894	ENSG00000182771	OG
GRM5	2915	ENSG00000168959	OG
GRXCR1	389207	ENSG00000215203	OG
GSE1	23199	ENSG00000131149	TSG
H3F3B	3021	ENSG00000132475_ENSG00000163041	OG
HDAC2	3066	ENSG00000196591	TSG
HERC1	8925	ENSG00000103657	TSG
HEY1	23462	ENSG00000164683	OG
HGF	3082	ENSG00000019991	TSG
HIST1H2BF	8347	ENSG00000168242_ENSG00000180596_ENSG00000187990_ENSG00000197697_ENSG00000197846	OG
HIST1H3B	3020	ENSG00000132475_ENSG00000163041	OG
HLA-A	3105	ENSG00000206503	TSG
HLA-B	3106	ENSG00000234745	TSG
HLA-DRB1	100996809	ENSG00000196126	TSG
HLF	3131	ENSG00000108924	OG
HMCN1	83872	ENSG00000143341	TSG
HNF1A	6927	ENSG00000135100	TSG
HRAS	3265	ENSG00000174775	OG
HS6ST1	9394	ENSG00000136720	TSG
HSPCB	3326	ENSG00000096384	OG
ID3	3399	ENSG00000117318	TSG
IDH1	3417	ENSG00000138413	OG
IDH2	3418	ENSG00000182054	TSG
IFITM1	8519	ENSG00000185885	OG
IFNGR2	3460	ENSG00000159128	TSG
IKZF1	10320	ENSG00000185811	TSG
IL32	9235	ENSG00000008517	TSG
IL6ST	3572	ENSG00000134352	OG
IL7R	3575	ENSG00000168685	OG
INO80	54617	ENSG00000128908	TSG
INPPL1	3636	ENSG00000165458	TSG
INTS7	25896	ENSG00000143493	OG
IRF4	3662	ENSG00000137265	OG
IWS1	55677	ENSG00000163166	TSG
JAK1	3716	ENSG00000162434	OG
JAK2	3717	ENSG00000096968	OG
JAK3	3718	ENSG00000105639	OG
JAKMIP2	9832	ENSG00000176049	OG
JMJD1C	221037	ENSG00000171988	TSG
JUN	3725	ENSG00000177606	OG
KANSL1	101929776	ENSG00000120071	TSG
KCND3	3752	ENSG00000171385	OG
KCNJ5	3762	ENSG00000120457	OG
KCNQ5	56479	ENSG00000185760	OG
KDM5A	5927	ENSG00000073614	OG
KDM5C	8242	ENSG00000126012	TSG
KDM6A	7403	ENSG00000147050	TSG
KDR	3791	ENSG00000128052	OG
KEAP1	9817	ENSG00000079999	TSG
KIAA1549	57670	ENSG00000122778	OG
KIT	3815	ENSG00000157404	OG
KLF4	9314	ENSG00000136826	OG
KLF6	1316	ENSG00000067082	TSG
KLHL5	51088	ENSG00000109790	OG
KMT2A	4297	ENSG00000118058	TSG
KMT2B	9757	ENSG00000272333	TSG
KMT2C	58508	ENSG00000055609	TSG
KMT2D	8085	ENSG00000167548	TSG
KRAS	3845	ENSG00000133703	OG
KRT15	3866	ENSG00000171346	OG
KRTAP4-11	728224	ENSG00000204880_ENSG00000212721	OG
LARP4B	23185	ENSG00000107929	TSG
LHFPL1	340596	ENSG00000182508	OG
LIMCH1	22998	ENSG00000064042	TSG
LMO1	4004	ENSG00000166407	OG
LSM11	134353	ENSG00000155858	OG
LUC7L3	51747	ENSG00000108848	TSG
LUM	4060	ENSG00000139329	OG
LZTR1	8216	ENSG00000099949	OG
MAGI2	9863	ENSG00000187391	OG
MAP2K1	5604	ENSG00000169032	OG
MAP2K2	5605	ENSG00000126934	OG
MAP2K4	6416	ENSG00000065559	TSG
MAP3K1	4214	ENSG00000095015	TSG
MAPK1	5594	ENSG00000100030	OG
MAX	4149	ENSG00000125952	TSG
MB21D2	151963	ENSG00000180611	OG
MBD1	4152	ENSG00000141644	TSG
MBD6	114785	ENSG00000166987	TSG
MBOAT2	129642	ENSG00000143797	OG
MDM2	4193	ENSG00000135679	OG
MDM4	4194	ENSG00000198625	OG
MECOM	2122	ENSG00000085276	OG
MED12	9968	ENSG00000184634	OG
MED23	9439	ENSG00000112282	TSG
MEF2B	100271849	ENSG00000213999	OG
MEF2BNB-MEF2B	729991	ENSG00000064489_ENSG00000254901	OG
MEN1	4221	ENSG00000133895	TSG
MET	4233	ENSG00000105976	OG
METTL14	57721	ENSG00000145388	OG
MFAP5	8076	ENSG00000197614	OG
MFF	56947	ENSG00000168958	OG
MFGE8	4240	ENSG00000140545	OG
MGA	23269	ENSG00000174197	TSG
MITF	4286	ENSG00000187098	OG
MKRN1	23608	ENSG00000133606	TSG
MLH1	4292	ENSG00000076242	TSG
MLLT4	4301	ENSG00000130396	TSG
MORC4	79710	ENSG00000133131	TSG
MPL	4352	ENSG00000117400	OG
MS4A8	83661	ENSG00000166959	OG
MSH2	4436	ENSG00000095002	TSG
MSH6	2956	ENSG00000116062	TSG
MTFR1L	56181	ENSG00000117640	TSG
MTOR	2475	ENSG00000198793	OG
MUTYH	4595	ENSG00000132781	TSG
MYB	4602	ENSG00000118513	OG
MYC	4609	ENSG00000136997	OG
MYCL	4610	ENSG00000116990	OG
MYCN	4613	ENSG00000134323	OG
MYD88	4615	ENSG00000172936	OG
MYF5	4617	ENSG00000111049	OG
MYH2	4620	ENSG00000125414	OG
MYO1B	4430	ENSG00000128641	TSG
MYO6	4646	ENSG00000196586	TSG
MYOT	9499	ENSG00000120729	OG
NAA25	80018	ENSG00000111300	TSG
NBN	4683	ENSG00000104320	TSG
NBPF1	284565	ENSG00000243452	OG
NCOR1	9611	ENSG00000141027	TSG
NCOR2	9612	ENSG00000196498	TSG
NEK9	91754	ENSG00000119638	TSG
NF1	4763	ENSG00000196712	TSG
NF2	4771	ENSG00000186575	TSG
NFATC4	4776	ENSG00000100968	TSG
NFE2L2	4780	ENSG00000116044	OG
NIPBL	25836	ENSG00000164190	TSG
NKX2-1	7080	ENSG00000136352	OG
NOTCH1	4851	ENSG00000148400	TSG
NOTCH2	4853	ENSG00000134250	TSG
NPM1	4869	ENSG00000181163	TSG
NRAP	4892	ENSG00000197893	OG
NRAS	4893	ENSG00000213281	OG
NSD1	64324	ENSG00000165671	TSG
NSFL1C	55968	ENSG00000088833	OG
NSMCE1	197370	ENSG00000169189	OG
NT5C2	22978	ENSG00000076685	TSG
NUP98	4928	ENSG00000110713	TSG
NUTM2F	441457	ENSG00000130950_ENSG00000188152	OG
OR5I1	10798	ENSG00000167825	OG
PALB2	79728	ENSG00000083093	TSG
PAX5	5079	ENSG00000196092	OG
PBRM1	55193	ENSG00000163939	TSG
PCDH7	5099	ENSG00000169851	TSG
PDE7B	27115	ENSG00000171408	OG
PDGFRA	5156	ENSG00000134853	OG
PGM5	5239	ENSG00000154330	OG
PHACTR4	65979	ENSG00000204138	TSG
PHF6	84295	ENSG00000156531	TSG
PHOX2B	8929	ENSG00000109132	TSG
PIK3CA	5290	ENSG00000121879	OG
PIK3R1	5295	ENSG00000145675	TSG
PLAC4	191585	ENSG00000225745	TSG
PLEKHA6	22874	ENSG00000143850	TSG
PLEKHM3	389072	ENSG00000178385	TSG
PLK2	10769	ENSG00000145632	OG
PMS1	5378	ENSG00000064933	TSG
PMS2	5395	ENSG00000122512	TSG
PNISR	25957	ENSG00000132424	TSG
POLE	5426	ENSG00000177084	OG
POT1	25913	ENSG00000128513	TSG
POU2AF1	5450	ENSG00000110777	OG
PPM1D	8493	ENSG00000170836	OG
PPP2R1A	5518	ENSG00000105568	OG
PPP6C	5537	ENSG00000119414	OG
PRDM1	639	ENSG00000057657	TSG
PRF1	5551	ENSG00000180644	TSG
PRKAR1A	5573	ENSG00000108946	TSG
PRKCI	5584	ENSG00000163558	OG
PRKRA	8575	ENSG00000180228	TSG
PRPF40A	55660	ENSG00000196504	TSG
PRRC2C	23215	ENSG00000117523	TSG
PRRX1	5396	ENSG00000116132	OG
PSIP1	11168	ENSG00000164985	TSG
PTCH1	5727	ENSG00000185920	TSG
PTEN	5728	ENSG00000171862	TSG
PTN	5764	ENSG00000105894	OG
PTPN11	5781	ENSG00000179295	OG
PTPRC	5788	ENSG00000081237	TSG
PTPRK	5796	ENSG00000152894	TSG
PUS7	54517	ENSG00000091127	TSG
RAC1	5879	ENSG00000136238	OG
RAD21	5885	ENSG00000164754	TSG
RASA1	5921	ENSG00000145715	TSG
RB1	5925	ENSG00000139687	TSG
RBBP6	5930	ENSG00000122257	TSG
RBM10	8241	ENSG00000182872	TSG
RBM15	64783	ENSG00000162775	TSG
RBM26	64062	ENSG00000139746	TSG
RBM39	9584	ENSG00000131051	OG
RBMX	101928747	ENSG00000147274	TSG
RECQL4	9401	ENSG00000160957	TSG
REL	5966	ENSG00000162924	OG
RERE	473	ENSG00000142599	TSG
RET	5979	ENSG00000165731	OG
RGPD3	653489	ENSG00000015568_ENSG00000153165_ENSG00000183054	OG
RGS12	6002	ENSG00000159788	TSG
RHOA	387	ENSG00000067560	OG
RIMS2	9699	ENSG00000176406	TSG
RIT1	6016	ENSG00000143622	OG
RNF43	54894	ENSG00000108375	TSG
RPL10	6134	ENSG00000147403	TSG
RPL18	6141	ENSG00000063177	TSG
RPL22	6146	ENSG00000116251	TSG
RPL5	6125	ENSG00000122406	TSG
RRAS2	22800	ENSG00000133818	OG
RUFY2	55680	ENSG00000204130	TSG
RUNX1	861	ENSG00000159216	TSG
RXRB	6257	ENSG00000204231	TSG
SBDS	51119	ENSG00000126524	TSG
SDHAF2	54949	ENSG00000167985	TSG
SDHB	6390	ENSG00000117118	TSG
SDHC	6391	ENSG00000143252	TSG
SDHD	6392	ENSG00000204370	TSG
SEC22A	26984	ENSG00000121542	TSG
SEMG2	6407	ENSG00000124157	OG
SEPT14	346288	ENSG00000154997	OG
SESTD1	91404	ENSG00000187231	TSG
SETBP1	26040	ENSG00000152217	OG
SETD2	29072	ENSG00000181555	TSG
SF3B1	23451	ENSG00000115524	OG
SFPQ	6421	ENSG00000116560	TSG
SH2B3	10019	ENSG00000111252	TSG
SIAH2	6478	ENSG00000181788	OG
SIN3A	25942	ENSG00000169375	TSG
SKAP2	8935	ENSG00000005020	OG
SLC23A2	9962	ENSG00000089057	TSG
SMAD2	4087	ENSG00000175387	TSG
SMAD4	4089	ENSG00000141646	TSG
SMARCA1	6594	ENSG00000102038	TSG
SMARCA4	6597	ENSG00000127616	TSG
SMARCB1	6598	ENSG00000099956	TSG
SMARCE1	6605	ENSG00000073584	TSG
SMO	6608	ENSG00000128602	OG
SOCS1	8651	ENSG00000185338	TSG
SOS1	6654	ENSG00000115904	OG
SOX17	64321	ENSG00000164736	OG
SOX2	6657	ENSG00000181449	OG
SOX21	11166	ENSG00000125285	TSG
SOX9	6662	ENSG00000125398	TSG
SPATA6	54558	ENSG00000132122	TSG
SPCS1	28972	ENSG00000114902	TSG
SPOP	8405	ENSG00000121067	OG
SPRED1	161742	ENSG00000166068	TSG
SPRED2	200734	ENSG00000198369	TSG
SPSB2	84727	ENSG00000111671	TSG
SRSF11	9295	ENSG00000116754	TSG
SRSF2	6427	ENSG00000161547	OG
STAG2	10735	ENSG00000101972	TSG
STAT3	6774	ENSG00000168610	OG
STAT5B	6777	ENSG00000173757	OG
STK11	6794	ENSG00000118046	TSG
STX7	8417	ENSG00000079950	TSG
SUFU	51684	ENSG00000107882	TSG
SULT1C4	27233	ENSG00000198075	OG
SUZ12	23512	ENSG00000178691	TSG
TAF1	6872	ENSG00000147133	OG
TAOK1	57551	ENSG00000160551	TSG
TBC1D10C	374403	ENSG00000175463	TSG
TBL1XR1	79718	ENSG00000177565	TSG
TBX18	9096	ENSG00000112837	OG
TBX3	6926	ENSG00000135111	TSG
TCF12	6938	ENSG00000140262	TSG
TCF7L2	6934	ENSG00000148737	TSG
TERT	7015	ENSG00000164362	OG
TET2	54790	ENSG00000168769	TSG
TGFBR2	7048	ENSG00000163513	TSG
THRAP3	9967	ENSG00000054118	TSG
THUMPD3	25917	ENSG00000134077	TSG
TMCO2	127391	ENSG00000188800	TSG
TMEM30A	55754	ENSG00000112697	TSG
TMPO	7112	ENSG00000120802	TSG
TNFAIP3	7128	ENSG00000118503	TSG
TNFRSF14	8764	ENSG00000157873	TSG
TNRC6B	23112	ENSG00000100354	TSG
TOR1A	1861	ENSG00000136827	OG
TP53	7157	ENSG00000141510	TSG
TP53BP1	7158	ENSG00000067369	TSG
TRAF3	7187	ENSG00000131323	TSG
TRAF7	84231	ENSG00000131653	OG
TRIM23	373	ENSG00000113595	OG
TRIM48	101930235	ENSG00000150244_ENSG00000223417	OG
TRIP12	9320	ENSG00000153827	TSG
TRRAP	8295	ENSG00000196367	OG
TSC1	7248	ENSG00000165699	TSG
TSC2	7249	ENSG00000103197	TSG
TSHR	7253	ENSG00000165409	OG
TTC18	118491	ENSG00000156042	TSG
TUSC3	7991	ENSG00000104723	OG
TYRP1	7306	ENSG00000107165	TSG
U2AF1	7307	ENSG00000160201	OG
UBQLN2	29978	ENSG00000188021	OG
UBR5	51366	ENSG00000104517	TSG
UPF3B	65109	ENSG00000125351	TSG
USP28	57646	ENSG00000048028	TSG
USP9X	8239	ENSG00000124486	TSG
VHL	7428	ENSG00000134086	TSG
VPS13A	23230	ENSG00000197969	TSG
WAC	51322	ENSG00000095787	TSG
WAS	7454	ENSG00000015285	TSG
WDR33	84826	ENSG00000136709_ENSG00000173349	TSG
WRN	7486	ENSG00000165392	TSG
WT1	7490	ENSG00000184937	TSG
XPA	7507	ENSG00000136936	TSG
XPC	7508	ENSG00000154767	TSG
XPO1	7514	ENSG00000082898	OG
XYLT1	64131	ENSG00000103489	OG
ZBTB18	10472	ENSG00000179456	TSG
ZC3H13	23091	ENSG00000123200	TSG
ZC3H18	124245	ENSG00000158545	TSG
ZFP36L1	677	ENSG00000185650	TSG
ZFP36L2	678	ENSG00000152518	TSG
ZMYM3	9203	ENSG00000147130	TSG
ZMYM4	9202	ENSG00000146463	TSG
ZNF117	51351	ENSG00000152926	OG
ZNF181	339318	ENSG00000197841	OG
ZNF292	23036	ENSG00000188994	TSG
ZNF318	24149	ENSG00000171467	TSG
ZNF319	57567	ENSG00000166188	TSG
ZNF750	79755	ENSG00000141579	TSG
ZNF799	90576	ENSG00000196466	OG
ZNF844	284391	ENSG00000223547	OG
ZNRF3	84133	ENSG00000183579	TSG
ZRSR2	8233	ENSG00000169249	TSG
FGFR1	2260	ENSG00000077782	OG
CCND2	894	ENSG00000118971	OG
CDK6	1021	ENSG00000105810	OG
AKT3	10000	ENSG00000117020	OG
AR	367	ENSG00000169083	OG
ARPC1A	10552	ENSG00000241685	OG
AURKA	6790	ENSG00000087586	OG
BAG4	9530	ENSG00000156735	OG
BCL2L2	599	ENSG00000129473	OG
BIRC2	329	ENSG00000110330	OG
C8orf4	56892	ENSG00000176907	OG
CACNA1E	777	ENSG00000198216	OG
CDC6	990	ENSG00000094804	OG
CHD1L	9557	ENSG00000131778	OG
CKS1B	1163	ENSG00000173207	OG
COPS3	8533	ENSG00000141030	OG
DCUN1D1	54165	ENSG00000043093	OG
DYRK2	8445	ENSG00000127334	OG
E2F3	1871	ENSG00000112242	OG
EEF1A2	1917	ENSG00000101210	OG
EIF5A2	56648	ENSG00000163577	OG
C11orf30	56946	ENSG00000158636	OG
FADD	8772	ENSG00000168040	OG
GATA6	2627	ENSG00000141448	OG
GPC5	2262	ENSG00000179399	OG
GRB7	2886	ENSG00000141738	OG
IST1	9798	ENSG00000182149	OG
LSM1	27257	ENSG00000175324	OG
MAP3K5	4217	ENSG00000197442	OG
MED29	55588	ENSG00000063322	OG
MTDH	92140	ENSG00000147649	OG
NCOA3	8202	ENSG00000124151	OG
NKX2-8	26257	ENSG00000136327	OG
PAK1	5058	ENSG00000149269	OG
PAX9	5083	ENSG00000198807	OG
PLA2G10	100652777	ENSG00000069764	OG
PTK6	5753	ENSG00000101213	OG
RAB23	51715	ENSG00000112210	OG
RAB25	57111	ENSG00000132698	OG
RPS6KB1	6198	ENSG00000108443	OG
RUVBL1	8607	ENSG00000175792	OG
SHC1	6464	ENSG00000160691	OG
SHH	6469	ENSG00000164690	OG
SKP2	6502	ENSG00000145604	OG
SMURF1	57154	ENSG00000198742	OG
STARD3	10948	ENSG00000131748	OG
TRIB1	10221	ENSG00000173334	OG
YAP1	10413	ENSG00000137693	OG
YEATS4	8089	ENSG00000127337	OG
YWHAB	7529	ENSG00000166913	OG
YWHAQ	10971	ENSG00000134308	OG
YWHAZ	7534	ENSG00000164924	OG
ZNF217	7764	ENSG00000171940	OG
ZNF639	51193	ENSG00000121864	OG
