DepMap Name	CancerGD Name
JHOM1_OVARY	
JHUEM2_ENDOMETRIUM	
JR_SOFT_TISSUE	
K029AX_SKIN	
KD_SOFT_TISSUE	
KE39_STOMACH	
KMM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	
KMRC2_KIDNEY	
KMS18_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	
KNS60_CENTRAL_NERVOUS_SYSTEM	
KNS81_CENTRAL_NERVOUS_SYSTEM	KNS81FD_CENTRAL_NERVOUS_SYSTEM
KP1NL_PANCREAS	
KP2_PANCREAS	
KPL1_BREAST	
KYSE30_OESOPHAGUS	
L33_PANCREAS	
LC1SQSF_LUNG	LC1SQ_LUNG
LN215_CENTRAL_NERVOUS_SYSTEM	
LN235_CENTRAL_NERVOUS_SYSTEM	
LN319_CENTRAL_NERVOUS_SYSTEM	
LN340_CENTRAL_NERVOUS_SYSTEM	
LN382_CENTRAL_NERVOUS_SYSTEM	
LN428_CENTRAL_NERVOUS_SYSTEM	
LN443_CENTRAL_NERVOUS_SYSTEM	
LN464_CENTRAL_NERVOUS_SYSTEM	
LNZ308_CENTRAL_NERVOUS_SYSTEM	
LU99_LUNG	LU99A_LUNG
LUDLU1_LUNG	
M059K_CENTRAL_NERVOUS_SYSTEM	
MDAMB435S_SKIN	
MDAPCA2B_PROSTATE	
MKL1_SKIN	
MKL2_SKIN	
MONOMAC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	
MORCPR_LUNG	
NCCSTCK140_STOMACH	
NCIH1339_LUNG	
NCIH1373_LUNG	
NCIH2004RT_SOFT_TISSUE	
NCIH2126_LUNG	
NCIH2286_LUNG	
NCIH2882_LUNG	
NCIH2887_LUNG	
NCIH322_LUNG	NCIH322M_LUNG
NCIH3255_LUNG	
NCIH854_LUNG	
OCIMY7_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	
OELE_OVARY	
OPM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	
PECAPJ34CLONEC12_UPPER_AERODIGESTIVE_TRACT	
PECAPJ49_UPPER_AERODIGESTIVE_TRACT	
PETA_SKIN	
PLB985_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	
PLCPRF5_LIVER	
PRECLH_PROSTATE	
RDES_BONE	
RERFLCAD2_LUNG	
RERFLCAI_LUNG	
RH30_SOFT_TISSUE	
RMUGS_OVARY	
SCC4_UPPER_AERODIGESTIVE_TRACT	
SEM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	
SF172_CENTRAL_NERVOUS_SYSTEM	
SF767_CENTRAL_NERVOUS_SYSTEM	
SKNEP1_BONE	
SKNO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	
SKRC20_KIDNEY	
SLR20_KIDNEY	
SLR21_KIDNEY	
SLR23_KIDNEY	
SLR24_KIDNEY	
SLR25_KIDNEY	
SLR26_KIDNEY	
SMSCTR_SOFT_TISSUE	
SNU1076_UPPER_AERODIGESTIVE_TRACT	
SNU1105_CENTRAL_NERVOUS_SYSTEM	
SNU216_STOMACH	
SNU349_KIDNEY	
SNU5_STOMACH	
SNU601_STOMACH	
SNU685_ENDOMETRIUM	
SNU719_STOMACH	
SNU8_OVARY	
SNU840_OVARY	
SNUC2A_LARGE_INTESTINE	
SUMB002_CENTRAL_NERVOUS_SYSTEM	
SW480_LARGE_INTESTINE	
TM87_SOFT_TISSUE	
TTC549_SOFT_TISSUE	
TTC709_SOFT_TISSUE	
TUHR10TKB_KIDNEY	
TUHR14TKB_KIDNEY	
TUHR4TKB_KIDNEY	
U178_CENTRAL_NERVOUS_SYSTEM	
U251MG_CENTRAL_NERVOUS_SYSTEM	
U343_CENTRAL_NERVOUS_SYSTEM	
U937_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	
UOK101_KIDNEY	
WM1799_SKIN	
WM2664_SKIN	
WM793_SKIN	
WM88_SKIN	
WM983B_SKIN	
YD38_UPPER_AERODIGESTIVE_TRACT	
YD8_UPPER_AERODIGESTIVE_TRACT	
ZR751_BREAST	
786O_KIDNEY	7860_KIDNEY
NIHOVCAR3_OVARY	OVCAR3_OVARY
RKN_SOFT_TISSUE	RKN_OVARY
A673_BONE	A673_SOFT_TISSUE
HUTU80_SMALL_INTESTINE	HUTU_OTHER
