EntrezID	Inhibitors
476	ACETYLDIGITOXIN, BEPRIDIL, BRETYLIUM, DESLANOSIDE, DIGITOXIN, ETHACRYNIC ACID, TRICHLORMETHIAZIDE
27032	DESFLURANE, ENFLURANE, ISOFLURANE, METHOXYFLURANE, SEVOFLURANE
495	ESOMEPRAZOLE, LANSOPRAZOLE, OMEPRAZOLE, PANTOPRAZOLE, RABEPRAZOLE
523	ALENDRONATE, ETIDRONIC ACID
526	GALLIUM NITRATE
6790	AT9283, AZD1152, CYC-116, ENMD-2076, MK-5108, MLN8054, PF-03814735, SNS-314, TOZASERTIB, VX-680
9212	AT9283, DANUSERTIB, GSK1070916, PF-03814735, TOZASERTIB
6795	GSK1070916, SNS-314, TOZASERTIB
590	DEMECARIUM, ECHOTHIOPHATE, ECHOTHIOPHATE IODIDE, EDROPHONIUM, MALATHION, PHENSERINE, RIVASTIGMINE, TACRINE
596	ABT-263, OBATOCLAX, OBLIMERSEN, PACLITAXEL
598	ABT-263
599	ABT-263
613	BOSUTINIB, DASATINIB, IMATINIB, PONATINIB, SARACATINIB
332	TERAMEPROCOL
673	ARQ736, BMS-908662, CHIR-265, DABRAFENIB, DABRAFENIB MESYLATE, REGORAFENIB, SORAFENIB, SORAFENIB TOSYLATE, VEMURAFENIB
695	IBRUTINIB
716	TANAPROGET
759	ACETAZOLAMIDE, ACETAZOLAMIDE SODIUM, AMLODIPINE, BENDROFLUMETHIAZIDE, BENZTHIAZIDE, BRINZOLAMIDE, CHLOROTHIAZIDE, CYCLOTHIAZIDE, DIAZOXIDE, DICHLORPHENAMIDE, DORZOLAMIDE, ELLAGIC ACID, ETHINAMATE, ETHOXZOLAMIDE, HYDROCHLOROTHIAZIDE, HYDROFLUMETHIAZIDE, METHAZOLAMIDE, METHOCARBAMOL, METHYCLOTHIAZIDE, QUINETHAZONE, TRICHLORMETHIAZIDE, ZONISAMIDE
56934	ZONISAMIDE
770	ZONISAMIDE
771	ACETAZOLAMIDE, ACETAZOLAMIDE SODIUM, BENZTHIAZIDE, DICHLORPHENAMIDE, ELLAGIC ACID, HYDROCHLOROTHIAZIDE, HYDROFLUMETHIAZIDE, ZONISAMIDE
377677	ZONISAMIDE
23632	ACETAZOLAMIDE, ELLAGIC ACID, ZONISAMIDE
760	ACETAZOLAMIDE, ACETAZOLAMIDE SODIUM, BENDROFLUMETHIAZIDE, BENZTHIAZIDE, BRINZOLAMIDE, CHLOROTHIAZIDE, CYCLOTHIAZIDE, DIAZOXIDE, DICHLORPHENAMIDE, DORZOLAMIDE, DORZOLAMIDE HYDROCHLORIDE, ELLAGIC ACID, ETHINAMATE, ETHOXZOLAMIDE, HYDROCHLOROTHIAZIDE, HYDROFLUMETHIAZIDE, METHAZOLAMIDE, METHYCLOTHIAZIDE, QUINETHAZONE, TOPIRAMATE, TRICHLORMETHIAZIDE, ZONISAMIDE
761	ACETAZOLAMIDE, ELLAGIC ACID, ZONISAMIDE
762	ACETAZOLAMIDE, ACETAZOLAMIDE SODIUM, BENDROFLUMETHIAZIDE, BENZTHIAZIDE, BRINZOLAMIDE, CHLOROTHIAZIDE, CYCLOTHIAZIDE, DICHLORPHENAMIDE, DORZOLAMIDE, ELLAGIC ACID, ETHOXZOLAMIDE, HYDROCHLOROTHIAZIDE, HYDROFLUMETHIAZIDE, METHAZOLAMIDE, METHYCLOTHIAZIDE, TOPIRAMATE, TRICHLORMETHIAZIDE, ZONISAMIDE
763	BRINZOLAMIDE, ELLAGIC ACID, ZONISAMIDE
11238	ELLAGIC ACID, ZONISAMIDE
765	ELLAGIC ACID, ZONISAMIDE
766	ACETAZOLAMIDE, ELLAGIC ACID, ETHOXZOLAMIDE, METHAZOLAMIDE, ZONISAMIDE
767	ZONISAMIDE
768	BENZTHIAZIDE, ELLAGIC ACID, HYDROCHLOROTHIAZIDE, HYDROFLUMETHIAZIDE, ZONISAMIDE
773	BEPRIDIL, LOPERAMIDE, PREGABALIN, VERAPAMIL
774	AMLODIPINE, GABAPENTIN, LEVETIRACETAM, VERAPAMIL
775	AMLODIPINE, CINNARIZINE, DROTAVERINE, FELODIPINE, ISRADIPINE, MIBEFRADIL, NICARDIPINE, NIFEDIPINE, NILVADIPINE, NIMODIPINE, NISOLDIPINE, NITRENDIPINE, VERAPAMIL
776	AMLODIPINE, CINNARIZINE, FELODIPINE, ISRADIPINE, MIBEFRADIL, NICARDIPINE, NIFEDIPINE, NILVADIPINE, NIMODIPINE, NISOLDIPINE, NITRENDIPINE, VERAPAMIL
778	CINNARIZINE, MIBEFRADIL, NIMODIPINE, VERAPAMIL
8913	CINNARIZINE, ETHOSUXIMIDE, FLUNARIZINE, METHSUXIMIDE, MIBEFRADIL, TRIMETHADIONE, VERAPAMIL, ZONISAMIDE
8912	AMIODARONE, BEPRIDIL, CINNARIZINE, FELODIPINE, FLUNARIZINE, ISRADIPINE, MIBEFRADIL, NIFEDIPINE, NITRENDIPINE, ZONISAMIDE
8911	CINNARIZINE, FLUNARIZINE, MIBEFRADIL, VERAPAMIL, ZONISAMIDE
779	AMLODIPINE, CINNARIZINE, FELODIPINE, ISRADIPINE, MIBEFRADIL, NIFEDIPINE, NILVADIPINE, NIMODIPINE, NISOLDIPINE, NITRENDIPINE, VERAPAMIL
781	AMLODIPINE, CYCLANDELATE, FELODIPINE, GABAPENTIN, ISRADIPINE, NICARDIPINE, NIFEDIPINE, NILVADIPINE, NISOLDIPINE, NITRENDIPINE
9254	AMIODARONE, BEPRIDIL, FELODIPINE, GABAPENTIN, ISRADIPINE, NITRENDIPINE
55799	AMLODIPINE, NILVADIPINE
782	AMLODIPINE, MIBEFRADIL, NIMODIPINE, VERAPAMIL
783	AMLODIPINE, FELODIPINE, ISRADIPINE, MIBEFRADIL, NICARDIPINE, NIFEDIPINE, NILVADIPINE, NIMODIPINE, NISOLDIPINE, NITRENDIPINE, VERAPAMIL
784	MIBEFRADIL, NIMODIPINE, VERAPAMIL
785	MIBEFRADIL, NIMODIPINE, VERAPAMIL
786	DILTIAZEM, FLUSPIRILENE, LERCANIDIPINE, NITRENDIPINE
796	OLCEGEPANT
801	APRINDINE, FLUPHENAZINE, LOPERAMIDE, NIFEDIPINE, PERPHENAZINE, PIMOZIDE, PROMETHAZINE, TRIFLUOPERAZINE
818	BOSUTINIB
6347	DANAZOL, MIMOSINE, RS-504393
983	ALSTERPAULLONE
1017	AG-024322, AT7519, CC-10004, R-ROSCOVITINE, RO 31-7453, SCH 727965, SELICICLIB
1019	AG-024322, CC-10004, LY2835219, P276-00, PALBOCICLIB, RO 31-7453
1020	HYMENIALDISINE, INDIRUBIN-3'-MONOXIME, OLOMOUCINE, SU9516
1021	CC-10004, LY2835219, PALBOCICLIB
1022	R-ROSCOVITINE
1025	P276-00, SCH 727965
1071	ANACETRAPIB, CP-800569, DALCETRAPIB, TORCETRAPIB
1080	IBUPROFEN
1111	AZD7762, LY2603618, SCH900776
11200	AZD7762
1135	MECAMYLAMINE
55584	TETRAETHYLAMMONIUM
1147	SULFASALAZINE
51727	GEMCITABINE
1312	ENTACAPONE, TOLCAPONE
1374	PERHEXILINE
1376	PERHEXILINE
51185	LENALIDOMIDE, POMALIDOMIDE, THALIDOMIDE
1435	ABT-869, AXITINIB
1436	DASATINIB, PAZOPANIB HYDROCHLORIDE, SUNITINIB MALATE
1457	ELLAGIC ACID
1511	DERMOLASTIN
1513	BALICATIB, ODANACATIB
1536	DEXTROMETHORPHAN
1583	AMINOGLUTETHIMIDE, MITOTANE
1584	METYRAPONE, MITOTANE
1586	ABIRATERONE, ABIRATERONE ACETATE, ORTERONEL, PROGESTERONE
1588	AMINOGLUTETHIMIDE, ANASTROZOLE, EXEMESTANE, LETROZOLE, TESTOLACTONE
1592	RAMBAZOLE
1595	ITRACONAZOLE, TIOCONAZOLE
1621	DISULFIRAM
1644	CARBIDOPA
4921	REGORAFENIB
8694	AZD7687, HESPERETIN, PF-04620110
1719	METHOTREXATE, METHOTREXATE SODIUM, PEMETREXED, PEMETREXED DISODIUM, PRALATREXATE, PYRIMETHAMINE, TRIMETHOPRIM, TRIMETREXATE
1723	ATOVAQUONE, LEFLUNOMIDE, TERIFLUNOMIDE
1725	1-GUANIDINIUM-7-AMINOHEPTANE
1733	PROPYLTHIOURACIL
1786	DECITABINE
1788	DECITABINE
1800	CILASTATIN, CILASTATIN SODIUM
1803	ABT-279, ALOGLIPTIN, ALOGLIPTIN BENZOATE, ATORVASTATIN, DENAGLIPTIN, LINAGLIPTIN, MELOGLIPTIN, NVP DPP728, SAXAGLIPTIN, SAXAGLIPTIN HYDROCHLORIDE, SITAGLIPTIN, SITAGLIPTIN PHOSPHATE, SSR-162369, VILDAGLIPTIN
1813	TETRABENAZINE
1956	AEE 788, AFATINIB, AFATINIB DIMALEATE, AZD4769, BIBW 2992, BMS-599626, BMS-690514, CUDC-101, DACOMITINIB, ERLOTINIB, ERLOTINIB HYDROCHLORIDE, GEFITINIB, ICOTINIB, LAPATINIB, LAPATINIB DITOSYLATE, MOMELOTINIB, NERATINIB, PELITINIB, TAK165, VANDETANIB
112398	FG-4592
1991	DERMOLASTIN
5167	RIBAVIRIN
1969	DASATINIB, REGORAFENIB
8288	MELATONIN
2064	AEE 788, AFATINIB, AFATINIB DIMALEATE, AZD8931, BIBW 2992, BMS-599626, BMS-690514, CP-724714, CUDC-101, DACOMITINIB, LAPATINIB DITOSYLATE, MOMELOTINIB, NERATINIB, PELITINIB, TAK-285, TAK165
2065	MOMELOTINIB
2066	AFATINIB, AFATINIB DIMALEATE, BMS-599626, PELITINIB
2159	APIXABAN, EDOXABAN, FONDAPARINUX SODIUM, HEPARIN, IDRAPARINUX, PD-348292, RIVAROXABAN, SR-123781A
2147	ARGATROBAN, BIVALIRUDIN, DABIGATRAN, DABIGATRAN ETEXILATE, DABIGATRAN ETEXILATE MESYLATE, DERMOLASTIN, DESIRUDIN, LEPIRUDIN, SR-123781A, SURAMIN, XIMELAGATRAN
2166	ACETAMINOPHEN, PROPOFOL, THIOPENTAL
355	CERULENIN
2194	CERULENIN, ORLISTAT
2224	ALENDRONATE, ALENDRONATE SODIUM, IBANDRONATE SODIUM, PAMIDRONATE DISODIUM, RISEDRONATE, RISEDRONATE SODIUM, ZOLEDRONIC ACID
2246	AMLEXANOX, PAZOPANIB
2249	PENTOSAN POLYSULFATE
2260	DOVITINIB, LENVATINIB, NINTEDANIB, PONATINIB, REGORAFENIB, SORAFENIB
2263	BRIVANIB, DOVITINIB, LENVATINIB, NINTEDANIB, PENTOSAN POLYSULFATE, PONATINIB, REGORAFENIB, TSU-68
2261	BMS-582664, DOVITINIB, LENVATINIB, NINTEDANIB, PAZOPANIB, PAZOPANIB HYDROCHLORIDE, PONATINIB, TKI258
2264	LENVATINIB, PONATINIB
2280	EVEROLIMUS, PIMECROLIMUS, SIROLIMUS, TACROLIMUS, TEMSIROLIMUS
2321	AXITINIB, CEDIRANIB, DOVITINIB, LENVATINIB, MOTESANIB, NINTEDANIB, PAZOPANIB, REGORAFENIB, SORAFENIB, SUNITINIB, TIVOZANIB, VATALANIB
2322	AMUVATINIB, NINTEDANIB, PONATINIB, SORAFENIB, SORAFENIB TOSYLATE, SU5614, SUNITINIB, SUNITINIB MALATE, TANDUTINIB
2324	AXITINIB, CEDIRANIB, LENVATINIB, MOTESANIB, NINTEDANIB, PAZOPANIB, REGORAFENIB, SORAFENIB, SUNITINIB, TELATINIB, TIVOZANIB, VANDETANIB
2346	DOCETAXEL
2444	REGORAFENIB
486	CYCLOTHIAZIDE
2534	DASATINIB, VX-680
2548	ACARBOSE, CELGOSIVIR, MIGLITOL
2618	PEMETREXED
2629	ISOFAGOMINE TARTRATE
2638	ANISINDIONE
2643	GUANINE
2645	LONIDAMINE
2677	ANISINDIONE
2739	INDOMETHACIN
2746	HEXACHLOROPHENE
2796	ABARELIX, OZARELIX
2875	PHENELZINE
84706	PHENELZINE
2902	MILNACIPRAN
2915	RUFINAMIDE
2932	ENZASTAURIN, LITHIUM
2936	CARMUSTINE
2950	CLOMIPRAMINE
3055	BOSUTINIB
3065	4SC-202, BELINOSTAT, CHLAMYDOCIN, CHR-3996, DACINOSTAT, DEPUDECIN, ENTINOSTAT, HDAC-42, LAQ824, M-CARBOXYCINNAMIC ACID BISHYDROXAMIDE, MGCD-0103, MS-275, NVP-LAQ824, OXAMFLATIN, PANOBINOSTAT, PCI-24781, PIVANEX, PYROXAMIDE, RESMINOSTAT, RG2833, ROMIDEPSIN, SB-623, SB-639, SCRIPTAID, SK-7041, SK-7068, SNDX-275, VALPROIC ACID, VORINOSTAT
83933	BELINOSTAT, DACINOSTAT, PANOBINOSTAT, PCI-24781, VORINOSTAT
79885	PANOBINOSTAT, VORINOSTAT
3066	BELINOSTAT, CHR-3996, DACINOSTAT, ENTINOSTAT, PANOBINOSTAT, PCI-24781, PIVANEX, ROMIDEPSIN, VALPROIC ACID, VORINOSTAT
8841	BELINOSTAT, CHR-3996, DACINOSTAT, ENTINOSTAT, PANOBINOSTAT, PCI-24781, PIVANEX, ROMIDEPSIN, VALPROIC ACID, VORINOSTAT
9759	BELINOSTAT, DACINOSTAT, PANOBINOSTAT, PCI-24781, PIVANEX, VALPROIC ACID, VORINOSTAT
10014	BELINOSTAT, DACINOSTAT, PANOBINOSTAT, PCI-24781, PIVANEX, VALPROIC ACID, VORINOSTAT
10013	BELINOSTAT, DACINOSTAT, PANOBINOSTAT, PCI-24781, VORINOSTAT
51564	BELINOSTAT, DACINOSTAT, PANOBINOSTAT, PCI-24781, PIVANEX, VALPROIC ACID, VORINOSTAT
55869	BELINOSTAT, CHR-3996, DACINOSTAT, ENTINOSTAT, PANOBINOSTAT, PCI-24781, PIVANEX, ROMIDEPSIN, VALPROIC ACID, VORINOSTAT
9734	BELINOSTAT, CUDC-101, DACINOSTAT, PANOBINOSTAT, PCI-24781, PIVANEX, VALPROIC ACID, VORINOSTAT
3091	PX-478
3156	ATORVASTATIN, ATORVASTATIN CALCIUM, CERIVASTATIN, CERIVASTATIN SODIUM, FLUVASTATIN, FLUVASTATIN SODIUM, LOVASTATIN, MEVASTATIN, PITAVASTATIN CALCIUM, PRAVASTATIN, ROSUVASTATIN CALCIUM, SIMVASTATIN
3162	STANNSOPORFIN
3176	AMODIAQUINE
3242	NITISINONE
3251	AZATHIOPRINE
10855	PI-88
3283	TRILOSTANE
3284	TRILOSTANE
3320	ALVESPIMYCIN, ALVESPIMYCIN HYDROCHLORIDE, AT13387, CNF1010, GANETESPIB, SNX-5422
3350	AMITRIPTYLINE
3480	BMS-754807, LINSITINIB
3551	AURANOFIN, SULFASALAZINE
3605	VIDOFLUDIMUS
3553	GALLIUM NITRATE, IBUDILAST
3612	LITHIUM, LITHIUM CARBONATE, LITHIUM CITRATE HYDRATE
3613	LITHIUM
3614	MYCOPHENOLATE MOFETIL, MYCOPHENOLIC ACID, RIBAVIRIN
3615	MYCOPHENOLATE MOFETIL, MYCOPHENOLIC ACID
3702	PAZOPANIB, PAZOPANIB HYDROCHLORIDE
3716	RUXOLITINIB, TOFACITINIB
3717	AT9283, AZD1480, RUXOLITINIB, TOFACITINIB, XL019
3718	AT9283, TOFACITINIB
3736	AMITRIPTYLINE, NIFEDIPINE
3751	AMITRIPTYLINE, DISOPYRAMIDE, IMIPRAMINE
3752	AMITRIPTYLINE, DISOPYRAMIDE, IMIPRAMINE
3753	INDAPAMIDE
3757	AMIODARONE, AMSACRINE, ASTEMIZOLE, CARVEDILOL, CISAPRIDE, DOFETILIDE, DOXAZOSIN, HALOFANTRINE, IBUTILIDE, IMIPRAMINE, MICONAZOLE, PIMOZIDE, PRAZOSIN, PROPAFENONE, QUINIDINE, SERTINDOLE, SOTALOL, TERAZOSIN, TERFENADINE, THIORIDAZINE, VERAPAMIL
81033	DOXAZOSIN, IBUTILIDE, MICONAZOLE, PRAZOSIN, TERAZOSIN
90134	DOXAZOSIN, IBUTILIDE, MICONAZOLE, PRAZOSIN, TERAZOSIN
3758	ACETOHEXAMIDE, GLIMEPIRIDE, GLYBURIDE, TOLAZAMIDE, TOLBUTAMIDE
3767	GLIMEPIRIDE, IBUTILIDE, THIAMYLAL, VERAPAMIL
3768	DOFETILIDE
3760	HALOTHANE
3762	GLYBURIDE
3763	HALOTHANE
3764	GLIQUIDONE, GLISOXEPIDE, PHENFORMIN, THIAMYLAL
3775	IBUTILIDE, QUINIDINE, QUINIDINE BARBITURATE
3777	DOXAPRAM
9424	IBUTILIDE, QUINIDINE
51305	DOXAPRAM
3778	HALOTHANE, MICONAZOLE
3779	MICONAZOLE
10242	MICONAZOLE
27094	MICONAZOLE
27345	MICONAZOLE
3780	MICONAZOLE
3781	MICONAZOLE
3782	MICONAZOLE
3783	CLOTRIMAZOLE, ENFLURANE, HALOTHANE, MICONAZOLE, QUININE
3784	BEPRIDIL, INDAPAMIDE
3785	AMITRIPTYLINE
3791	AEE 788, AXITINIB, BAY-57-9352, BMS-690514, BRIVANIB, CABOZANTINIB, CABOZANTINIB S-MALATE, CEDIRANIB, CP-547632, DOVITINIB, FORETINIB, KRN633, LENVATINIB, LINIFANIB, MOTESANIB, MOTESANIB DIPHOSPHATE, NINTEDANIB, OSI-930, PAZOPANIB, PONATINIB, REGORAFENIB, SORAFENIB, SUNITINIB, TELATINIB, TIVOZANIB, TSU-68, VANDETANIB, VATALANIB
9817	DIMETHYL FUMARATE
3832	ARRY-520, ISPINESIB, SB-743921
3815	AMUVATINIB, AXITINIB, CEDIRANIB, DASATINIB, IMATINIB, IMATINIB MESYLATE, LENVATINIB, MASITINIB, MOTESANIB, MOTESANIB DIPHOSPHATE, NILOTINIB, OSI-930, PAZOPANIB, PAZOPANIB HYDROCHLORIDE, PONATINIB, REGORAFENIB, SORAFENIB, SORAFENIB TOSYLATE, SUNITINIB, SUNITINIB MALATE, TELATINIB, VATALANIB
3932	DASATINIB, NINTEDANIB, PAZOPANIB HYDROCHLORIDE, PONATINIB
3978	BLEOMYCIN
3980	BLEOMYCIN
3984	DABRAFENIB
8513	ORLISTAT
4067	BOSUTINIB, NINTEDANIB, PONATINIB
4128	4-METHOXYAMPHETAMINE, ISOCARBOXAZID, METHAMPHETAMINE, MINAPRINE, MMDA, MOCLOBEMIDE, PARGYLINE, SELEGILINE, TRANYLCYPROMINE, ZIMELIDINE, ZONISAMIDE
4129	4-METHOXYAMPHETAMINE, ISOCARBOXAZID, METHAMPHETAMINE, MMDA, PARGYLINE, PF9601N, PHENELZINE, RASAGILINE, RASAGILINE MESYLATE, SELEGILINE, SELEGILINE HYDROCHLORIDE, TRANYLCYPROMINE, ZIMELIDINE, ZONISAMIDE
5604	AZD8330, BOSUTINIB, RO4987655, SELUMETINIB, SORAFENIB, TAK-733, TRAMETINIB
5605	BOSUTINIB, TRAMETINIB
10746	BOSUTINIB
5600	REGORAFENIB
6300	BIRB 796, VX-702, VX-745
5595	PURVALANOL
5599	CC-401
10461	AT9283
4233	AMUVATINIB, CABOZANTINIB, CABOZANTINIB S-MALATE, CRIZOTINIB, FORETINIB, INCB28060, MK-8033, SGX523, TIVANTINIB
8972	ACARBOSE, MIGLITOL, VOGLIBOSE
4282	COR100140
4311	CANDOXATRIL, PHOSPHORAMIDON, THIORPHAN
4312	BATIMASTAT, BMS 275291, DOXYCYCLINE CALCIUM, DOXYCYCLINE HYCLATE, DOXYCYCLINE HYDRATE, MARIMASTAT, PRINOMASTAT
4321	ACETOHYDROXAMIC ACID, AZD1236, MARIMASTAT
4322	DOXYCYCLINE CALCIUM, DOXYCYCLINE HYCLATE, DOXYCYCLINE HYDRATE, MARIMASTAT
4323	MARIMASTAT
4324	MARIMASTAT
4325	MARIMASTAT
4326	MARIMASTAT
4327	MARIMASTAT
4313	BATIMASTAT, BMS 275291, CAPTOPRIL, MARIMASTAT, PG-116800, PRINOMASTAT, TANOMASTAT
9313	MARIMASTAT
118856	MARIMASTAT
8511	MARIMASTAT
10893	MARIMASTAT
64386	MARIMASTAT
56547	MARIMASTAT
64066	MARIMASTAT
79148	MARIMASTAT
4314	PG-116800
4316	BATIMASTAT, BMS 275291, DOXYCYCLINE CALCIUM, DOXYCYCLINE HYCLATE, DOXYCYCLINE HYDRATE, MARIMASTAT, PRINOMASTAT
4317	DOXYCYCLINE CALCIUM, DOXYCYCLINE HYCLATE, DOXYCYCLINE HYDRATE, MARIMASTAT
4318	PG-116800
4353	CEFDINIR, MELATONIN
4486	FORETINIB
523	ALENDRONATE, ETIDRONIC ACID
2475	GDC-0980, NVP-BGT226, OSI-027, RIDAFOROLIMUS, SIROLIMUS, TEMSIROLIMUS, XL765
4547	IMPLITAPIDE
4718	CARVEDILOL
79858	DABRAFENIB
4758	OSELTAMIVIR
4759	OSELTAMIVIR, ZANAMIVIR
4791	PG-490-88
4843	AMINOGUANIDINE, MICONAZOLE
4846	MICONAZOLE
4851	RO4929097
29881	EZETIMIBE
4835	PRIMAQUINE
4907	PENTOXIFYLLINE
4914	LESTAURTINIB, REGORAFENIB
4942	CANALINE
4967	VALPROIC ACID
64805	PRASUGREL
5033	HYDRALAZINE
5053	DROXIDOPA, NOREPINEPHRINE
142	BSI-201, KU-0059436, OLAPARIB, VELIPARIB
10038	OLAPARIB, VELIPARIB
10039	OLAPARIB
10846	DIPYRIDAMOLE, PAPAVERINE, TOFISOPAM
50940	TADALAFIL
5136	BEPRIDIL, CAFFEINE, FELODIPINE, NICARDIPINE
5153	BEPRIDIL, FELODIPINE, NICARDIPINE
5138	TOFISOPAM
5139	AMINOPHYLLINE, AMRINONE, ANAGRELIDE, CILOSTAZOL, DYPHYLLINE, ENOXIMONE, IBUDILAST, INAMRINONE LACTATE, LEVOSIMENDAN, MILRINONE, MILRINONE LACTATE, OXTRIPHYLLINE, THEOPHYLLINE, TOFISOPAM
5141	APREMILAST, AROFYLLINE, CC-10004, CILOMILAST, DIPYRIDAMOLE, DROTAVERINE, DYPHYLLINE, ENPROFYLLINE, GSK256066, IBUDILAST, KETOTIFEN, OXTRIPHYLLINE, PENTOXIFYLLINE, ROFLUMILAST, THEOPHYLLINE, TOFISOPAM
5142	AMRINONE, CAFFEINE, DYPHYLLINE, ENPROFYLLINE, IBUDILAST, KETOTIFEN, PAPAVERINE, PENTOXIFYLLINE, ROFLUMILAST, THEOBROMINE, THEOPHYLLINE
5143	DYPHYLLINE, IBUDILAST, KETOTIFEN, ROFLUMILAST
5144	DYPHYLLINE, IBUDILAST, KETOTIFEN, OXTRIPHYLLINE, ROFLUMILAST
5148	SILDENAFIL
5149	SILDENAFIL
5150	DYPHYLLINE, KETOTIFEN
27115	DYPHYLLINE, KETOTIFEN
5151	KETOTIFEN
8622	KETOTIFEN
64146	BB-3497
5155	AXITINIB
5156	PAZOPANIB, PONATINIB, REGORAFENIB, TAK-593
5159	AMUVATINIB, AXITINIB, CEDIRANIB, DASATINIB, DOVITINIB, IMATINIB, IMATINIB MESYLATE, LINIFANIB, MOTESANIB, PAZOPANIB, REGORAFENIB, SORAFENIB, SORAFENIB TOSYLATE, SUNITINIB, TELATINIB, TSU-68, VATALANIB
5163	DICHLOROACETIC ACID
5170	CELECOXIB
5222	SUCRALFATE
5226	DACARBAZINE, KETOTIFEN
5290	GDC-0941, NVP-BGT226, PF-04691502, XL147, XL765
5319	DIFLORASONE, MILTEFOSINE, NIFLUMIC ACID
5320	DICLOFENAC, INDOMETHACIN, SURAMIN, VARESPLADIB
5321	QUINACRINE
8398	QUINACRINE
7941	DARAPLADIB, RILAPLADIB
5328	AMILORIDE
5334	QUINACRINE
5340	APROTININ, TRANEXAMIC ACID
5347	BI 2536, CYC-800, DAP-81, GSK461364, HMN-214, VOLASERTIB
5406	ORLISTAT
5422	CLADRIBINE, CLOFARABINE, FLUDARABINE, NELARABINE
5423	CYTARABINE
5426	CLADRIBINE
5427	CLADRIBINE
54107	CLADRIBINE
56655	CLADRIBINE
5471	AZATHIOPRINE, AZATHIOPRINE SODIUM
5535	CYCLOSPORINE
25824	AURANOFIN
5566	ELLAGIC ACID
5578	ELLAGIC ACID, SOTRASTAURIN ACETATE
5579	ELLAGIC ACID, ENZASTAURIN, RUBOXISTAURIN, SOTRASTAURIN ACETATE
5580	KAI-9803
5588	SOTRASTAURIN ACETATE
5621	TETRACYCLINE
5624	SODIUM TETRADECYL SULFATE
5627	SODIUM TETRADECYL SULFATE
5689	CARFILZOMIB
5699	CARFILZOMIB
5690	CARFILZOMIB
5693	CARFILZOMIB
5696	CARFILZOMIB
5698	CARFILZOMIB
