Gene,Alterations Considered
NSD1_64324_ENSG00000165671,"Homozygous deletions, nonsense mutations, frameshift mutations, splice-site mutations and recurrent mutations"
PTCH1_5727_ENSG00000185920,"Homozygous deletions, nonsense mutations, frameshift mutations, splice-site mutations and recurrent mutations"
CASP8_841_ENSG00000064012,"Homozygous deletions, nonsense mutations, frameshift mutations, splice-site mutations and recurrent mutations"
B2M_567_ENSG00000166710,"Homozygous deletions, nonsense mutations, frameshift mutations, splice-site mutations and recurrent mutations"
ASXL1_171023_ENSG00000171456,"Homozygous deletions, nonsense mutations, frameshift mutations, splice-site mutations and recurrent mutations"
CREBBP_1387_ENSG00000005339,"Homozygous deletions, nonsense mutations, frameshift mutations, splice-site mutations and recurrent mutations"
NCOR2_9612_ENSG00000196498,"Homozygous deletions, nonsense mutations, frameshift mutations, splice-site mutations and recurrent mutations"
EP300_2033_ENSG00000100393,"Homozygous deletions, nonsense mutations, frameshift mutations, splice-site mutations and recurrent mutations"
CCND1_595_ENSG00000110092,Amplifications or recurrent mutations
MLH1_4292_ENSG00000076242,"Homozygous deletions, nonsense mutations, frameshift mutations, splice-site mutations and recurrent mutations"
SMARCA4_6597_ENSG00000127616,"Homozygous deletions, nonsense mutations, frameshift mutations, splice-site mutations and recurrent mutations"
ERCC5_2073_ENSG00000134899,"Homozygous deletions, nonsense mutations, frameshift mutations, splice-site mutations and recurrent mutations"
ARID1A_8289_ENSG00000117713,"Homozygous deletions, nonsense mutations, frameshift mutations, splice-site mutations and recurrent mutations"
TSC1_7248_ENSG00000165699,"Homozygous deletions, nonsense mutations, frameshift mutations, splice-site mutations and recurrent mutations"
NF2_4771_ENSG00000186575,"Homozygous deletions, nonsense mutations, frameshift mutations, splice-site mutations and recurrent mutations"
MLLT4_4301_ENSG00000130396,"Homozygous deletions, nonsense mutations, frameshift mutations, splice-site mutations and recurrent mutations"
AKT2_208_ENSG00000105221,Amplifications or recurrent mutations
RPL22_6146_ENSG00000116251,"Homozygous deletions, nonsense mutations, frameshift mutations, splice-site mutations and recurrent mutations"
CIC_23152_ENSG00000079432,"Homozygous deletions, nonsense mutations, frameshift mutations, splice-site mutations and recurrent mutations"
MDM2_4193_ENSG00000135679,Amplifications or recurrent mutations
PTEN_5728_ENSG00000171862,"Homozygous deletions, nonsense mutations, frameshift mutations, splice-site mutations and recurrent mutations"
BRAF_673_ENSG00000157764,Recurrent mutations
ERBB2_2064_ENSG00000141736,Amplifications
HRAS_3265_ENSG00000174775,Recurrent mutations
EGFR_1956_ENSG00000146648,Amplifications or recurrent mutations
SMAD4_4089_ENSG00000141646,"Homozygous deletions, nonsense mutations, frameshift mutations, splice-site mutations and recurrent mutations"
SKP2_6502_ENSG00000145604,Amplifications or recurrent mutations
BCOR_54880_ENSG00000183337,"Homozygous deletions, nonsense mutations, frameshift mutations, splice-site mutations and recurrent mutations"
NBN_4683_ENSG00000104320,"Homozygous deletions, nonsense mutations, frameshift mutations, splice-site mutations and recurrent mutations"
VHL_7428_ENSG00000134086,"Homozygous deletions, nonsense mutations, frameshift mutations, splice-site mutations and recurrent mutations"
STK11_6794_ENSG00000118046,"Homozygous deletions, nonsense mutations, frameshift mutations, splice-site mutations and recurrent mutations"
NRAS_4893_ENSG00000213281,Recurrent mutations
BRCA1_672_ENSG00000012048,"Homozygous deletions, nonsense mutations, frameshift mutations, splice-site mutations and recurrent mutations"
THRAP3_9967_ENSG00000054118,"Homozygous deletions, nonsense mutations, frameshift mutations, splice-site mutations and recurrent mutations"
NKX2-1_7080_ENSG00000136352,Amplifications or recurrent mutations
CDKN2A_1029_ENSG00000147889,"Homozygous deletions, nonsense mutations, frameshift mutations, splice-site mutations and recurrent mutations"
TCF12_6938_ENSG00000140262,"Homozygous deletions, nonsense mutations, frameshift mutations, splice-site mutations and recurrent mutations"
FANCA_2175_ENSG00000187741,"Homozygous deletions, nonsense mutations, frameshift mutations, splice-site mutations and recurrent mutations"
IL7R_3575_ENSG00000168685,Amplifications or recurrent mutations
PIK3CA_5290_ENSG00000121879,Amplifications or recurrent mutations
CDKN2C_1031_ENSG00000123080,"Homozygous deletions, nonsense mutations, frameshift mutations, splice-site mutations and recurrent mutations"
STAG2_10735_ENSG00000101972,"Homozygous deletions, nonsense mutations, frameshift mutations, splice-site mutations and recurrent mutations"
CTNNB1_1499_ENSG00000168036,Amplifications or recurrent mutations
BRCA2_675_ENSG00000139618,"Homozygous deletions, nonsense mutations, frameshift mutations, splice-site mutations and recurrent mutations"
ACVR2A_92_ENSG00000121989,"Homozygous deletions, nonsense mutations, frameshift mutations, splice-site mutations and recurrent mutations"
MAP2K4_6416_ENSG00000065559,"Homozygous deletions, nonsense mutations, frameshift mutations, splice-site mutations and recurrent mutations"
ARID2_196528_ENSG00000189079,"Homozygous deletions, nonsense mutations, frameshift mutations, splice-site mutations and recurrent mutations"
PBRM1_55193_ENSG00000163939,"Homozygous deletions, nonsense mutations, frameshift mutations, splice-site mutations and recurrent mutations"
HNF1A_6927_ENSG00000135100,"Homozygous deletions, nonsense mutations, frameshift mutations, splice-site mutations and recurrent mutations"
