cell.line	BONE	BREAST	CENTRAL_NERVOUS_SYSTEM	ENDOMETRIUM	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KIDNEY	LARGE_INTESTINE	LIVER	LUNG	OESOPHAGUS	OTHER	OVARY	PANCREAS	PLEURA	PROSTATE	SKIN	SOFT_TISSUE	STOMACH	URINARY_TRACT
HPAC_PANCREAS	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
HPAFII_PANCREAS	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
HS683_CENTRAL_NERVOUS_SYSTEM	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HS766T_PANCREAS	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
HS944T_SKIN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
HT1197_URINARY_TRACT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
HT29_LARGE_INTESTINE	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
HT55_LARGE_INTESTINE	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
HUG1N_STOMACH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
HUTU_OTHER	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
IGR39_SKIN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
IGROV1_OVARY	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
IOMMLEE_CENTRAL_NERVOUS_SYSTEM	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JHESOAD1_OESOPHAGUS	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
JHOC5_OVARY	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
JHOM1_OVARY	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
JJN3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KALS1_CENTRAL_NERVOUS_SYSTEM	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KASUMI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KM12_LARGE_INTESTINE	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
KMS12BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KNS60_CENTRAL_NERVOUS_SYSTEM	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KNS81_CENTRAL_NERVOUS_SYSTEM	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KP1NL_PANCREAS	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
KP2_PANCREAS	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
KP4_PANCREAS	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
KURAMOCHI_OVARY	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
KYSE150_OESOPHAGUS	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
KYSE30_OESOPHAGUS	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
KYSE450_OESOPHAGUS	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
KYSE510_OESOPHAGUS	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
L33_PANCREAS	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
L363_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LAMA84_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LK2_LUNG	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
LN215_CENTRAL_NERVOUS_SYSTEM	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LN229_CENTRAL_NERVOUS_SYSTEM	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LN235_CENTRAL_NERVOUS_SYSTEM	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LN319_CENTRAL_NERVOUS_SYSTEM	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LN340_CENTRAL_NERVOUS_SYSTEM	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LN382_CENTRAL_NERVOUS_SYSTEM	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LN428_CENTRAL_NERVOUS_SYSTEM	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LN443_CENTRAL_NERVOUS_SYSTEM	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LN464_CENTRAL_NERVOUS_SYSTEM	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LNZ308_CENTRAL_NERVOUS_SYSTEM	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOVO_LARGE_INTESTINE	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
LS411N_LARGE_INTESTINE	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
LS513_LARGE_INTESTINE	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
MCF7_BREAST	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MDAMB453_BREAST	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIAPACA2_PANCREAS	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
MKN7_STOMACH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
MM1S_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MOLM13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MONOMAC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MONOMAC6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NALM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NB4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCIH1299_LUNG	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NCIH1437_LUNG	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NCIH1650_LUNG	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NCIH1792_LUNG	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NCIH196_LUNG	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NCIH1975_LUNG	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NCIH2052_PLEURA	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
NCIH2122_LUNG	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NCIH2171_LUNG	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NCIH23_LUNG	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NCIH2452_PLEURA	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
NCIH441_LUNG	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NCIH508_LARGE_INTESTINE	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
NCIH660_PROSTATE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
NCIH661_LUNG	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NCIH716_LARGE_INTESTINE	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
NCIH838_LUNG	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NCIN87_STOMACH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OVCAR3_OVARY	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
NOMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OAW42_OVARY	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OCIAML2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OCIAML3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OCIAML5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OE33_OESOPHAGUS	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OELE_OVARY	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OV7_OVARY	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OV90_OVARY	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OVCAR4_OVARY	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OVCAR8_OVARY	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OVISE_OVARY	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
PANC0327_PANCREAS	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
PANC0813_PANCREAS	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
PANC1005_PANCREAS	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
PLB985_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSN1_PANCREAS	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
QGP1_PANCREAS	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
REH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RKN_OVARY	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
RKO_LARGE_INTESTINE	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
RMGI_OVARY	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
RMUGS_OVARY	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
RS411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RT112_URINARY_TRACT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SEM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SF126_CENTRAL_NERVOUS_SYSTEM	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SF172_CENTRAL_NERVOUS_SYSTEM	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SF295_CENTRAL_NERVOUS_SYSTEM	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SF767_CENTRAL_NERVOUS_SYSTEM	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SJSA1_BONE	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SKCO1_LARGE_INTESTINE	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SKMEL5_SKIN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
SKMM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SKNO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SKOV3_OVARY	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
SKRC20_KIDNEY	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SLR20_KIDNEY	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SLR21_KIDNEY	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SLR23_KIDNEY	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SLR24_KIDNEY	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SLR25_KIDNEY	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SLR26_KIDNEY	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SNU1105_CENTRAL_NERVOUS_SYSTEM	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNU840_OVARY	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
SNUC1_LARGE_INTESTINE	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SNUC2A_LARGE_INTESTINE	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SU8686_PANCREAS	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
SW1417_LARGE_INTESTINE	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SW1783_CENTRAL_NERVOUS_SYSTEM	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SW48_LARGE_INTESTINE	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SW480_LARGE_INTESTINE	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
T98G_CENTRAL_NERVOUS_SYSTEM	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TC71_BONE	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCCSUP_URINARY_TRACT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
TE10_OESOPHAGUS	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
TE15_OESOPHAGUS	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
TE9_OESOPHAGUS	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TOV112D_OVARY	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
TOV21G_OVARY	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
TT_OESOPHAGUS	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
TYKNU_OVARY	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
U178_CENTRAL_NERVOUS_SYSTEM	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
U251MG_CENTRAL_NERVOUS_SYSTEM	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
U343_CENTRAL_NERVOUS_SYSTEM	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
U87MG_CENTRAL_NERVOUS_SYSTEM	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UOK101_KIDNEY	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
VCAP_PROSTATE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
YKG1_CENTRAL_NERVOUS_SYSTEM	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZR7530_BREAST	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
